ID,RESOLUTION,CHM,CHD,IFN,IRN,OPN,SMQ,SCOH,SCOP,CMQ,CCOH,CCOP,SERVICES,K,NMI,NMI_filtered,penalty_swm,penalty_mean,score_swm,penalty_rel_swm,H_global,n_clusters
04_03_09_58_22_598511,0.5,0.5773809523809523,0.6489406179138322,1.5,145.0,14.0,0.192780204851744,0.2105204522000188,0.0177402473482747,0.5798267089370233,0.5806474743007249,0.0008207653637016,19,12,0.27141963912794725,0.284892834077254,0.7013177312202885,0.5819214541396661,0.2986822687797115,0.7185295036833291,0.9760458375406861,19.0
04_03_09_58_22_622745,0.5,0.5399999999999999,0.6589841269841269,1.2,147.0,18.0,0.191411153789626,0.2090229215229215,0.0176117677332955,0.4913306778691393,0.4949467199467199,0.0036160420775805,13,12,0.22124904329716044,0.24070359373206002,0.7793837926343609,0.7372894510694158,0.22061620736563914,0.798511466016956,0.9760458375406861,13.0
04_03_09_58_22_639869,0.6,0.5773809523809523,0.6489406179138322,1.5,147.0,14.0,0.2580881218228032,0.2739641690009337,0.0158760471781305,0.5710148225957049,0.5724731559290382,0.0014583333333333,16,12,0.25647389331943904,0.2650397811761138,0.7227813563879817,0.6492407762700193,0.2772186436120183,0.7405198901407669,0.9760458375406861,16.0
04_03_09_58_22_658398,0.6,0.5399999999999999,0.6589841269841269,1.2,158.0,18.0,0.2403489268233159,0.2681346796478375,0.0277857528245216,0.5797271624574255,0.5814632735685367,0.0017361111111111,16,12,0.2435983788610037,0.24561753393298164,0.7402826312475622,0.6371554927518337,0.2597173687524378,0.7584506821040605,0.9760458375406859,16.0
04_03_09_58_22_677088,0.6,0.5399999999999999,0.6589841269841269,1.2,140.0,18.0,0.2605396873849255,0.2768589743589744,0.0163192869740488,0.6009887202744345,0.6024399674399674,0.0014512471655328,15,12,0.25719727689777705,0.2762076404529607,0.7361777647162923,0.6522959759018379,0.26382223528370774,0.7542450737469644,0.9760458375406859,15.0
04_03_09_58_22_695616,0.7,0.5399999999999999,0.6589841269841269,1.2,161.0,18.0,0.2228167091266706,0.2398674854557207,0.0170507763290501,0.557863831430008,0.5590443869855635,0.0011805555555555,16,12,0.2912249297567602,0.299158851252289,0.6978859136700863,0.5745850829968401,0.30211408632991366,0.7150134623067794,0.9760458375406861,16.0
04_03_09_58_22_717259,0.7,0.3,0.3237301587301587,1.5,114.0,18.0,0.120089296486812,0.1320993706086873,0.0120100741218753,0.3899344272015078,0.4058074430745237,0.0158730158730158,7,12,0.17600633467424454,0.1797780775070684,0.8469527650763301,0.8068935660063902,0.1530472349236699,0.8677387193314322,0.9760458375406861,7.0
04_03_09_58_22_736020,0.7,0.5399999999999999,0.6589841269841269,1.2,159.0,18.0,0.2111554269615493,0.2308369408369408,0.0196815138753914,0.5627004741290456,0.5642424242424242,0.0015419501133786,15,12,0.27282768448553596,0.28768248194033086,0.7164804221348815,0.639906222683544,0.2835195778651185,0.7340643180654058,0.9760458375406859,15.0
04_03_09_58_22_754055,0.8,0.3,0.3237301587301587,1.5,111.0,18.0,0.123079289944969,0.1361412640459041,0.0130619741009351,0.4019795878217507,0.4155850299986214,0.0136054421768707,7,12,0.2005143227967778,0.1996094282979743,0.8280959484781107,0.7974774099196589,0.17190405152188926,0.8484191178609397,0.9760458375406859,7.0
04_03_09_58_22_772960,0.8,0.2698412698412698,0.1985874905517762,2.0,121.0,14.0,0.1082548555214795,0.123122783368947,0.0148679278474674,0.3311933179068729,0.3667488734624284,0.0355555555555555,6,12,0.19051142730224901,0.19655574374454185,0.8373510141319169,0.8032989910280719,0.16264898586808307,0.8579013217675984,0.9760458375406859,6.0
04_03_09_58_22_792641,0.8,0.3,0.3237301587301587,1.5,107.0,18.0,0.1269946613158897,0.1378005048173115,0.0108058435014217,0.3649585475215727,0.3785639896984434,0.0136054421768707,7,12,0.20262238941320795,0.20079979342214369,0.8219514022440908,0.8002868523332245,0.1780485977559092,0.8421237718867156,0.9760458375406859,7.0
04_03_09_58_22_813217,0.9,0.3,0.3237301587301587,1.5,104.0,18.0,0.1392876515714861,0.1496138729691361,0.0103262213976499,0.4213769626363611,0.435407574881259,0.0140306122448979,8,12,0.17767229858038205,0.17879748776242754,0.8348345024299437,0.7987905444248439,0.16516549757005627,0.8553230497180868,0.9760458375406859,8.0
04_03_09_58_22_833865,0.9,0.3,0.3237301587301587,1.5,115.0,18.0,0.1346490565402315,0.1487759824716346,0.0141269259314031,0.4081749470336426,0.417103518462214,0.0089285714285714,8,12,0.22509152013400127,0.22976999749077465,0.8090893385400703,0.7693181102051124,0.19091066145992974,0.8289460468154947,0.9760458375406861,8.0
04_03_09_58_22_851503,0.9,0.3,0.3237301587301587,1.5,108.0,18.0,0.1237691876362416,0.1364266059754781,0.0126574183392365,0.4128838579966399,0.4264893001735106,0.0136054421768707,7,12,0.18078634342413155,0.17700231004312902,0.8367691524681071,0.803433548360213,0.16323084753189288,0.8573051800277021,0.9760458375406861,7.0
04_03_09_58_22_871844,1.0,0.3,0.3237301587301587,1.5,101.0,18.0,0.131854656464553,0.1423125967354185,0.0104579402708654,0.37862288087852,0.4035661915361163,0.0249433106575963,7,12,0.1755496820736731,0.17776429834454896,0.8383703567018039,0.8212921551374289,0.16162964329819607,0.8589456810903688,0.9760458375406859,7.0
04_03_09_58_22_891863,1.0,0.3,0.3237301587301587,1.5,116.0,18.0,0.1359322073039353,0.1488120575077096,0.0128798502037743,0.4084906035992992,0.4174191750278706,0.0089285714285714,8,12,0.20967772436351087,0.20933460338883111,0.8140440650017244,0.7735050118689499,0.18595593499827556,0.8340223724050166,0.9760458375406861,8.0
04_03_09_58_22_911522,1.0,0.3,0.3237301587301587,1.5,108.0,18.0,0.1280146497952098,0.139284062667329,0.0112694128721191,0.3593427966098774,0.3752158124828932,0.0158730158730158,7,12,0.20591845742303183,0.20636451954887167,0.8189623103421957,0.7939900394753592,0.1810376896578043,0.8390613215519784,0.9760458375406861,7.0
04_03_09_53_24_059459,0.3,0.5399999999999999,0.6589841269841269,1.2,129.0,18.0,0.1813576391918638,0.1931861810204056,0.0118285418285418,0.4837581491592186,0.4873945127955823,0.0036363636363636,11,9,0.20835793400724342,0.22570772610259088,0.8058100747843102,0.7156582850848726,0.19418992521568978,0.8255863032157242,0.9760458375406859,11.0
04_03_09_53_24_074265,0.3,0.5773809523809523,0.6489406179138322,1.5,120.0,14.0,0.190652188180971,0.198386171576961,0.0077339833959899,0.6014985343603765,0.6024707565825987,0.0009722222222222,16,9,0.23560757239044805,0.25065067572739413,0.7714041767119701,0.6269185201050167,0.22859582328802985,0.7903360139884974,0.9760458375406859,16.0
04_03_09_53_24_089088,0.3,0.5773809523809523,0.6489406179138322,1.5,144.0,14.0,0.20089453765696,0.2196058018068887,0.0187112641499287,0.6013495984691637,0.6028773762469415,0.0015277777777777,16,9,0.2431576725927637,0.2651050365243078,0.7427704146370181,0.5976629008300354,0.2572295853629819,0.7609995207894691,0.9760458375406861,16.0
04_03_09_53_24_104809,0.4,0.5399999999999999,0.6589841269841269,1.2,130.0,18.0,0.2040841327101448,0.214665732378283,0.0105815996681381,0.552000069206547,0.55430118689228,0.002301117685733,13,9,0.23804114456205844,0.24581420161126438,0.7732661289689298,0.696505036370303,0.22673387103107023,0.7922436623645728,0.9760458375406859,13.0
04_03_09_53_24_123620,0.4,0.5399999999999999,0.6589841269841269,1.2,134.0,18.0,0.1968179020696382,0.2092671217671217,0.0124492196974835,0.4733913522375061,0.476021201021201,0.0026298487836949,13,9,0.25745742077217987,0.2712371418651095,0.7468330463209513,0.6853495889021151,0.25316695367904873,0.7651618577696355,0.9760458375406861,13.0
04_03_09_53_24_137278,0.4,0.3,0.3237301587301587,1.5,144.0,18.0,0.2023222015748928,0.218223493100944,0.0159012915260512,0.6161988978597975,0.6171387073347858,0.0009398094749882,18,9,0.25511417631017147,0.269736468836776,0.736423648522946,0.5899734351664729,0.26357635147705405,0.7544969920454667,0.9760458375406861,18.0
